Date;S&P500_Closing;Dax40_Closing;Nikkei_Closing;U_S&P500_Returns;U_Dax40_Returns;U_Nikkei_Returns;U_S&P500_Loss;U_Dax40_Loss;U_Nikkei_Loss;C_S&P500_Returns;C_Dax40_Returns;C_Nikkei_Returns;C_S&P500_Loss;C_Dax40_Loss;C_Nikkei_Loss;USD/EUR;JPY/EUR
2-1-2012;#N/A;6075.52;#N/A;;;;;;;;;;;;;0.773200;0.010060
3-1-2012;1277.06;6166.57;#N/A;;;;;;;;;;;;;0.766200;0.009991
4-1-2012;1277.30;6111.55;8560.11;;;;;;;;;;;;;0.772500;0.010070
5-1-2012;1281.06;6095.99;8488.71;0.002939385;-0.002549246;-0.008375995;-3.76;15.56;71.4;0.002298893;-0.002549246;-0.000084765072;-2.940696;15.56;0.722568;0.782100;0.010120
6-1-2012;1277.81;6057.92;8390.35;-0.002540185;-0.006264671;-0.011654809;3.25;38.07;98.36;-0.00199684;-0.006264671;-0.000118995604;2.554825;38.07;1.0042556;0.786100;0.010210
9-1-2012;1280.70;6017.23;8390.35;0.002259128;-0.006739486;0;-2.89;40.69;0;0.001769575;-0.006739486;0.000000000000;-2.263737;40.69;0;0.783300;0.010190
10-1-2012;1292.08;6162.98;8422.26;0.008846519;0.023933406;0.003795965;-11.38;-145.75;-31.91;0.006923286;0.023933406;0.000038680882;-8.905988;-145.75;-0.3251629;0.782600;0.010190
11-1-2012;1292.48;6152.34;8447.88;0.00030953;-0.00172793;0.003037322;-0.4;10.64;-25.62;0.00024357;-0.00172793;0.000031071799;-0.31476;10.64;-0.2620926;0.786900;0.010230
12-1-2012;1295.50;6179.21;8385.59;0.002333868;0.004357934;-0.007400766;-3.02;-26.87;62.29;0.001819483;0.004357934;-0.000075191780;-2.354392;-26.87;0.6328664;0.779600;0.010160
13-1-2012;1289.09;6143.08;8500.02;-0.004960178;-0.005864187;0.01355376;6.41;36.13;-114.43;-0.00391358;-0.005864187;0.000139061576;5.05749;36.13;-1.1740518;0.789000;0.010260
16-1-2012;1289.09;6220.01;8378.36;0;0.012445269;-0.014416325;0;-76.93;121.66;0;0.012445269;-0.000148199823;0;-76.93;1.2506648;0.789500;0.010280
17-1-2012;1293.67;6332.93;8466.40;0.003546597;0.01799149;0.010453198;-4.58;-112.92;-88.04;0.002783724;0.01799149;0.000106831679;-3.594842;-112.92;-0.8997688;0.784900;0.010220
18-1-2012;1308.04;6354.57;8550.58;0.011046693;0.003411235;0.009893728;-14.37;-21.64;-84.18;0.008588804;0.003411235;0.000100223466;-11.172675;-21.64;-0.8527434;0.777500;0.010130
19-1-2012;1314.50;6416.26;8639.68;0.004926532;0.009661154;0.010366428;-6.46;-61.69;-89.1;0.003799834;0.009661154;0.000103622816;-4.982598;-61.69;-0.8906436;0.771300;0.009996
20-1-2012;1315.38;6404.39;8766.36;0.000669232;-0.001851701;0.014556124;-0.88;11.87;-126.68;0.000517383;-0.001851701;0.000146143483;-0.680328;11.87;-1.2718672;0.773100;0.010040
23-1-2012;1316.00;6436.62;8765.90;0.000471236;0.005019865;-5.25E-05;-0.62;-32.23;0.46;0.000361579;0.005019865;-0.000000522858;-0.475726;-32.23;0.00458344;0.767300;0.009964
24-1-2012;1314.65;6419.22;8785.33;-0.001026362;-0.002706943;0.002214091;1.35;17.4;-19.43;-0.000788041;-0.002706943;0.000021868574;1.03653;17.4;-0.19191011;0.767800;0.009877
25-1-2012;1326.05;6421.85;8883.69;0.008634128;0.000409623;0.011133726;-11.4;-2.63;-98.36;0.006585249;0.000409623;0.000109199587;-8.69478;-2.63;-0.96471488;0.762700;0.009808
26-1-2012;1318.43;6539.85;8849.47;-0.005762964;0.018207991;-0.003859441;7.62;-118;34.22;-0.004398294;0.018207991;-0.000038019353;5.815584;-118;0.33710122;0.763200;0.009851
27-1-2012;1316.33;6511.98;8841.22;-0.001594073;-0.004270672;-0.000932694;2.1;27.87;8.25;-0.00120512;-0.004270672;-0.000009196363;1.5876;27.87;0.081345;0.756000;0.009860
30-1-2012;1313.01;6444.45;8793.05;-0.00252535;-0.010424262;-0.005463239;3.32;67.53;48.17;-0.001922044;-0.010424262;-0.000054479424;2.526852;67.53;0.48035124;0.761100;0.009972
31-1-2012;1312.41;6458.91;8802.51;-0.00045707;0.002241278;0.001075271;0.6;-14.46;-9.46;-0.000349476;0.002241278;0.000010774219;0.45876;-14.46;-0.0947892;0.764600;0.010020
