Date;Deposit Facility;Fixed Rate;Marginal Lending Facility
2-1-2012;0,25;1,00;1,75
3-1-2012;0,25;1,00;1,75
4-1-2012;0,25;1,00;1,75
5-1-2012;0,25;1,00;1,75
6-1-2012;0,25;1,00;1,75
9-1-2012;0,25;1,00;1,75
10-1-2012;0,25;1,00;1,75
11-1-2012;0,25;1,00;1,75
12-1-2012;0,25;1,00;1,75
13-1-2012;0,25;1,00;1,75
16-1-2012;0,25;1,00;1,75
17-1-2012;0,25;1,00;1,75
18-1-2012;0,25;1,00;1,75
19-1-2012;0,25;1,00;1,75
20-1-2012;0,25;1,00;1,75
23-1-2012;0,25;1,00;1,75
24-1-2012;0,25;1,00;1,75
25-1-2012;0,25;1,00;1,75
26-1-2012;0,25;1,00;1,75
27-1-2012;0,25;1,00;1,75
30-1-2012;0,25;1,00;1,75
31-1-2012;0,25;1,00;1,75
1-2-2012;0,25;1,00;1,75
2-2-2012;0,25;1,00;1,75
3-2-2012;0,25;1,00;1,75
6-2-2012;0,25;1,00;1,75
7-2-2012;0,25;1,00;1,75
8-2-2012;0,25;1,00;1,75
9-2-2012;0,25;1,00;1,75
10-2-2012;0,25;1,00;1,75
13-2-2012;0,25;1,00;1,75
14-2-2012;0,25;1,00;1,75
15-2-2012;0,25;1,00;1,75
16-2-2012;0,25;1,00;1,75
17-2-2012;0,25;1,00;1,75
20-2-2012;0,25;1,00;1,75
21-2-2012;0,25;1,00;1,75
22-2-2012;0,25;1,00;1,75
23-2-2012;0,25;1,00;1,75
24-2-2012;0,25;1,00;1,75
27-2-2012;0,25;1,00;1,75
28-2-2012;0,25;1,00;1,75
29-2-2012;0,25;1,00;1,75
1-3-2012;0,25;1,00;1,75
2-3-2012;0,25;1,00;1,75
5-3-2012;0,25;1,00;1,75
6-3-2012;0,25;1,00;1,75
7-3-2012;0,25;1,00;1,75
8-3-2012;0,25;1,00;1,75
9-3-2012;0,25;1,00;1,75
12-3-2012;0,25;1,00;1,75
13-3-2012;0,25;1,00;1,75
14-3-2012;0,25;1,00;1,75
15-3-2012;0,25;1,00;1,75
16-3-2012;0,25;1,00;1,75
