Date;S&P500;Dax40;Nikkei;EUR/USD;EUR/JPY;Boeing;Airbus;Volskwagen;ASML;NVIDIA;Stellantis;Sony
1-1-2012;;;;;;;;;;;;3.6080
2-1-2012;;6075.52;;1.29280;¥99.4000;;23.9730;106.0410;42.1883;;12.6150;3.6080
3-1-2012;1277.06;6166.57;;1.30500;¥100.0500;74.2200;24.3204;109.4360;42.4091;0.3510;13.1750;3.6760
4-1-2012;1277.30;6111.55;¥8560.11;1.29400;¥99.2600;74.3300;24.3204;108.8870;41.5584;0.3550;12.9650;3.6440
5-1-2012;1281.06;6095.99;¥8488.71;1.27800;¥98.6400;73.5300;24.3849;112.2000;41.3117;0.3678;12.6350;3.5400
6-1-2012;1277.81;6057.92;¥8390.35;1.27200;¥97.9000;73.9800;24.7076;110.7150;41.7013;0.3635;12.8000;3.4880
9-1-2012;1280.70;6017.23;¥8390.35;1.27650;¥98.0500;74.5300;24.5835;109.5500;42.0779;0.3635;12.2350;3.4940
10-1-2012;1292.08;6162.98;¥8422.26;1.27720;¥98.1300;75.0000;24.6827;111.9820;42.1818;0.3620;12.9200;3.5400
11-1-2012;1292.48;6152.34;¥8447.88;1.27030;¥97.6400;74.7400;24.8465;114.3500;42.5519;0.3548;12.9500;3.5380
12-1-2012;1295.50;6179.21;¥8385.59;1.28250;¥98.4200;75.5100;24.9855;114.8200;42.1104;0.3525;13.5400;3.4520
13-1-2012;1289.09;6143.08;¥8500.02;1.26770;¥97.4800;74.6000;24.8515;113.1690;42.2338;0.3433;13.5500;3.4260
16-1-2012;1289.09;6220.01;¥8378.36;1.26610;¥97.2200;74.6000;24.9657;116.2500;43.3117;0.3433;14.1150;3.4260
17-1-2012;1293.67;6332.93;¥8466.40;1.27370;¥97.8500;75.2400;25.4868;118.2000;43.7273;0.3380;14.2200;3.3540
18-1-2012;1308.04;6354.57;¥8550.58;1.28540;¥98.7000;75.0600;25.6010;118.6870;42.2078;0.3495;14.2750;3.4240
19-1-2012;1314.50;6416.26;¥8639.68;1.29640;¥99.9700;75.5600;25.6754;121.8670;42.3896;0.3588;14.4000;3.4500
20-1-2012;1315.38;6404.39;¥8766.36;1.29370;¥99.4700;75.5200;25.3379;122.5100;42.7662;0.3555;14.9150;3.5700
23-1-2012;1316.00;6436.62;¥8765.90;1.30280;¥100.2800;75.5100;25.4620;121.4500;43.6753;0.3653;15.0250;3.7060
