Date ;S&P500;Dax40;Nikkei;EUR/USD;JPY/USD;Boeing;Airbus;Volskwagen ;ASML ;NVIDIA;Stellantis
01/01/2012;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
02/01/2012;#N/A; € 6.075,52 ;#N/A; $1,29 ; $0,01 ;#N/A; € 23,97 ; € 106,04 ; € 42,19 ;#N/A; € 12,62 
03/01/2012; $1.277,06 ; € 6.166,57 ;#N/A; $1,31 ; $0,01 ; $74,22 ; € 24,32 ; € 109,44 ; € 42,41 ; $0,35 ; € 13,18 
04/01/2012; $1.277,30 ; € 6.111,55 ; ¥8.560,11 ; $1,29 ; $0,01 ; $74,33 ; € 24,32 ; € 108,89 ; € 41,56 ; $0,36 ; € 12,97 
05/01/2012; $1.281,06 ; € 6.095,99 ; ¥8.488,71 ; $1,28 ; $0,01 ; $73,53 ; € 24,38 ; € 112,20 ; € 41,31 ; $0,37 ; € 12,64 
06/01/2012; $1.277,81 ; € 6.057,92 ; ¥8.390,35 ; $1,27 ; $0,01 ; $73,98 ; € 24,71 ; € 110,72 ; € 41,70 ; $0,36 ; € 12,80 
09/01/2012; $1.280,70 ; € 6.017,23 ; ¥8.390,35 ; $1,28 ; $0,01 ; $74,53 ; € 24,58 ; € 109,55 ; € 42,08 ; $0,36 ; € 12,24 
10/01/2012; $1.292,08 ; € 6.162,98 ; ¥8.422,26 ; $1,28 ; $0,01 ; $75,00 ; € 24,68 ; € 111,98 ; € 42,18 ; $0,36 ; € 12,92 
11/01/2012; $1.292,48 ; € 6.152,34 ; ¥8.447,88 ; $1,27 ; $0,01 ; $74,74 ; € 24,85 ; € 114,35 ; € 42,55 ; $0,35 ; € 12,95 
12/01/2012; $1.295,50 ; € 6.179,21 ; ¥8.385,59 ; $1,28 ; $0,01 ; $75,51 ; € 24,99 ; € 114,82 ; € 42,11 ; $0,35 ; € 13,54 
13/01/2012; $1.289,09 ; € 6.143,08 ; ¥8.500,02 ; $1,27 ; $0,01 ; $74,60 ; € 24,85 ; € 113,17 ; € 42,23 ; $0,34 ; € 13,55 
16/01/2012; $1.289,09 ; € 6.220,01 ; ¥8.378,36 ; $1,27 ; $0,01 ; $74,60 ; € 24,97 ; € 116,25 ; € 43,31 ; $0,34 ; € 14,12 
17/01/2012; $1.293,67 ; € 6.332,93 ; ¥8.466,40 ; $1,27 ; $0,01 ; $75,24 ; € 25,49 ; € 118,20 ; € 43,73 ; $0,34 ; € 14,22 
18/01/2012; $1.308,04 ; € 6.354,57 ; ¥8.550,58 ; $1,29 ; $0,01 ; $75,06 ; € 25,60 ; € 118,69 ; € 42,21 ; $0,35 ; € 14,28 
19/01/2012; $1.314,50 ; € 6.416,26 ; ¥8.639,68 ; $1,30 ; $0,01 ; $75,56 ; € 25,68 ; € 121,87 ; € 42,39 ; $0,36 ; € 14,40 
20/01/2012; $1.315,38 ; € 6.404,39 ; ¥8.766,36 ; $1,29 ; $0,01 ; $75,52 ; € 25,34 ; € 122,51 ; € 42,77 ; $0,36 ; € 14,92 
23/01/2012; $1.316,00 ; € 6.436,62 ; ¥8.765,90 ; $1,30 ; $0,01 ; $75,51 ; € 25,46 ; € 121,45 ; € 43,68 ; $0,37 ; € 15,03 
